epoch,step,split,total_loss,pred_loss,inv_loss,gate_loss,swap_loss,swap_diff_loss,swap_same_loss,kl_loss,effective_lambda_kl,effective_lambda_envpred,effective_lambda_future_mi,effective_lambda_swap,effective_lambda_sep,effective_lambda_mask_sparse,aux_schedule_factor,ind_loss,sparse_loss,entropy_loss,residual_norm_loss,env_consistency_loss,persistence_mi_loss,envpred_loss,future_mi_loss,future_mi_type,env_fut_nll,env_fut_nll_plus,env_fut_nll_minus,env_fut_kl,pred_fut_logvar_mean,pred_fut_mu_norm,future_mi_valid,sep_loss,sep_mi_type,club_upper_bound,club_fit_nll,cross_cov_loss,hsic_loss,rank_loss,mask_sparse_loss,effective_lambda_persistence_mi,rho_mean,rho_std,rho_min,rho_max,rho_entropy,delta_gain_mean,delta_gain_std,delta_gain_pos_ratio,s_gain_mean,persist_score_mean,persist_score_std,s_persist_mean,s_gate_mean,persistence_valid,potential_gain_mean,swap_delta_mean,swap_weight_mean,env_mu_abs_mean,env_std_mean,r_env_abs_mean,y_inv_mae,y_potential_mae,y_hat_mae,sep_projection_ratio,sep_cos_z_env_before,sep_cos_z_env_after,sep_lowrank_energy_ratio,sep_residual_norm,sep_z_raw_norm,sep_z_inv_norm,sep_env_raw_norm,sep_env_norm,sep_proj_norm,sep_basis_rank,sep_svd_top_singular_mean,sep_lowrank_rank,sep_env_residual_norm,mask_mean,mask_std,mask_min,mask_max,mask_entropy,mask_active_ratio,env_plus_norm,env_minus_norm,env_hist_norm,env_fut_norm,env_fut_pred_norm,fusion_gamma_abs_mean,fusion_beta_abs_mean,timestamp_valid,cur_time_emb_norm,seq_time_emb_norm,future_time_emb_norm,backbone_aux_loss,curriculum_horizon,cast_vq_loss,cast_commit_loss,cast_mi_loss,stone_graph_perturb_loss,stone_spatial_graph_entropy,stone_temporal_graph_entropy,val_mae,val_mse,val_rmse,val_mape,val_wape,val_mae_h3,val_rmse_h3,val_mape_h3,val_wape_h3,val_mae_h6,val_rmse_h6,val_mape_h6,val_wape_h6,val_mae_h12,val_rmse_h12,val_mape_h12,val_wape_h12,val_mae_avg12,val_rmse_avg12,val_mape_avg12,val_wape_avg12,lr
1,20,train,0.2091473937034607,0.17428570985794067,0.1743084192276001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49798160791397095,0.49798160791397095,0.49802058935165405,0.0,-0.0186320748180151,0.5133334994316101,1.0,0.0,1.0,0.0,0.0,0.00023695797426626086,0.0,0.0,0.0,0.0,0.28023761510849,0.01503669936209917,0.2258760929107666,0.3308846354484558,0.5902966260910034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.5264663893030956e-05,0.4708568751811981,0.06427748501300812,0.991977334022522,0.0,0.1743084192276001,0.17428570985794067,0.17428570985794067,0.07690756022930145,-0.008920222520828247,6.233774607622422e-11,0.0,0.0,4.034191608428955,4.034191131591797,1.6560410261154175,1.6560410261154175,0.2981800436973572,0.0,0.0,0.0,0.0,0.28023761510849,0.03406454250216484,0.16161185503005981,0.4717409908771515,0.5902966260910034,0.0,1.6673678159713745,1.6578240394592285,1.6560410261154175,1.658110499382019,0.5133334994316101,0.017378056421875954,0.007299024146050215,1.0,3.1930124759674072,3.114116668701172,3.1619067192077637,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,40,train,0.18494798243045807,0.15415336191654205,0.15397311747074127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49493643641471863,0.49493643641471863,0.4948803782463074,0.0,-0.018603311851620674,0.5137647986412048,1.0,0.0,1.0,0.0,0.0,0.00023959357349667698,0.0,0.0,0.0,0.0,0.2798685133457184,0.014720527455210686,0.2308850735425949,0.3419278562068939,0.5897877812385559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.59262628282886e-05,0.46669313311576843,0.06718575954437256,0.9871123433113098,0.0,0.15397311747074127,0.15415336191654205,0.15415336191654205,0.06225993484258652,-0.005949745420366526,-2.571614310387105e-10,0.0,0.0,4.035800933837891,4.035800933837891,1.6566044092178345,1.6566044092178345,0.23199644684791565,0.0,0.0,0.0,0.0,0.279868483543396,0.03502508997917175,0.151007741689682,0.4546736180782318,0.5897877812385559,0.0,1.6671433448791504,1.6590766906738281,1.6566044092178345,1.6580737829208374,0.5137647986412048,0.02525949850678444,0.005742121487855911,1.0,3.0286221504211426,3.0228583812713623,3.068073272705078,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,60,train,0.20788680016994476,0.17319214344024658,0.17347325384616852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49061498045921326,0.49061498045921326,0.4905641973018646,0.0,-0.018463963642716408,0.5139200687408447,1.0,0.0,1.0,0.0,0.0,0.0003227235283702612,0.0,0.0,0.0,0.0,0.2787133455276489,0.013370374217629433,0.23860447108745575,0.3318289518356323,0.5887057781219482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.180868811294204e-06,0.4626823961734772,0.07255151867866516,0.9813662767410278,0.0,0.17347325384616852,0.17319214344024658,0.17319214344024658,0.06053762137889862,-0.017602836713194847,6.209957548186651e-11,0.0,0.0,3.863471508026123,3.863471508026123,1.659498929977417,1.659498929977417,0.2153206318616867,0.0,0.0,0.0,0.0,0.2787133455276489,0.03491353243589401,0.15329518914222717,0.4568931758403778,0.5887057781219482,0.0,1.669580340385437,1.662244439125061,1.659498929977417,1.6526031494140625,0.5139200687408447,0.029818596318364143,0.005972770974040031,1.0,3.0668134689331055,3.0891618728637695,3.0369067192077637,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,80,train,0.18231678009033203,0.15201112627983093,0.1515282690525055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4852956235408783,0.4852955937385559,0.4852867126464844,0.0,-0.019663706421852112,0.5184216499328613,1.0,0.0,1.0,0.0,0.0,0.00029413774609565735,0.0,0.0,0.0,0.0,0.27547478675842285,0.016290968284010887,0.22652363777160645,0.33862921595573425,0.5843064785003662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.051673386129551e-06,0.4587595462799072,0.07710632681846619,0.9768422245979309,0.0,0.1515282690525055,0.15201112627983093,0.15201112627983093,0.057421181350946426,-0.0031206889543682337,-7.302734805758604e-11,0.0,0.0,4.365424156188965,4.365424156188965,1.6576087474822998,1.6576087474822998,0.22719183564186096,0.0,0.0,0.0,0.0,0.27547478675842285,0.04155642166733742,0.1280878335237503,0.5025619268417358,0.5843064785003662,1.5318628356908448e-05,1.675512671470642,1.6604098081588745,1.6576087474822998,1.656801462173462,0.5184216499328613,0.0283605195581913,0.004634748678654432,1.0,3.118990421295166,3.0410284996032715,3.0466318130493164,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,100,train,0.15879350900650024,0.13225716352462769,0.1326816976070404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48075467348098755,0.48075470328330994,0.4806966483592987,0.0,-0.018923645839095116,0.5120100975036621,1.0,0.0,1.0,0.0,0.0,0.0003303213161416352,0.0,0.0,0.0,0.0,0.27390217781066895,0.01625438965857029,0.2249825894832611,0.3393511474132538,0.5830268859863281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.952071347157471e-05,0.4551337957382202,0.0796041265130043,0.97198885679245,0.0,0.1326816976070404,0.13225716352462769,0.13225716352462769,0.05236169695854187,-0.0023499501403421164,-1.6565608607077564e-10,0.0,0.0,4.145549774169922,4.145549774169922,1.6590791940689087,1.6590791940689087,0.19680172204971313,0.0,0.0,0.0,0.0,0.27390217781066895,0.04026950150728226,0.11754685640335083,0.5445725321769714,0.5830268859863281,1.5318628356908448e-05,1.676452875137329,1.6612606048583984,1.6590791940689087,1.655319094657898,0.5120100975036621,0.029161769896745682,0.004351078066974878,1.0,2.939363956451416,3.009291410446167,2.968656063079834,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,120,train,0.17236249148845673,0.14362429082393646,0.14369098842144012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4740287959575653,0.4740287959575653,0.47402265667915344,0.0,-0.018368519842624664,0.5194692611694336,1.0,0.0,1.0,0.0,0.0,0.00034395401598885655,0.0,0.0,0.0,0.0,0.27861812710762024,0.013985157944262028,0.2200154960155487,0.328424334526062,0.5876959562301636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.265451909508556e-05,0.4514911472797394,0.08411230146884918,0.9649806022644043,0.0,0.14369098842144012,0.14362429082393646,0.14362429082393646,0.04990284517407417,-0.003158227540552616,4.917612150823203e-11,0.0,0.0,4.273130416870117,4.273130416870117,1.6526726484298706,1.6526726484298706,0.19366499781608582,0.0,0.0,0.0,0.0,0.27861809730529785,0.03984995558857918,0.1375623494386673,0.4854409098625183,0.5876959562301636,0.0,1.6665972471237183,1.6561082601547241,1.6526726484298706,1.6543164253234863,0.5194692611694336,0.02993537113070488,0.003855351125821471,1.0,3.2011423110961914,3.0044164657592773,2.9416370391845703,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,140,train,0.17704296112060547,0.14756649732589722,0.14738228917121887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4673879146575928,0.4673878848552704,0.46741756796836853,0.0,-0.017962966114282608,0.5110460519790649,1.0,0.0,1.0,0.0,0.0,0.00027471728390082717,0.0,0.0,0.0,0.0,0.2760840356349945,0.016060009598731995,0.22853299975395203,0.33861488103866577,0.5852468013763428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0958926799939945e-05,0.44441354274749756,0.08682410418987274,0.9574400186538696,0.0,0.14738228917121887,0.14756649732589722,0.14756649732589722,0.05339721962809563,0.0009600927005521953,7.415663222376523e-11,0.0,0.0,4.110651969909668,4.110651969909668,1.6479473114013672,1.6479473114013672,0.19558396935462952,0.0,0.0,0.0,0.0,0.2760840356349945,0.03982452303171158,0.13262350857257843,0.5113915801048279,0.5852468013763428,1.5318628356908448e-05,1.6606086492538452,1.6514921188354492,1.6479473114013672,1.6503167152404785,0.5110460519790649,0.03094760701060295,0.003982973750680685,1.0,3.011685848236084,3.0106706619262695,2.959702491760254,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,160,train,0.15515191853046417,0.12925344705581665,0.1294923722743988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4598439931869507,0.4598439931869507,0.45983201265335083,0.0,-0.018628038465976715,0.5186834335327148,1.0,0.0,1.0,0.0,0.0,0.00025557924527674913,0.0,0.0,0.0,0.0,0.2745315730571747,0.01780068501830101,0.21840119361877441,0.33222219347953796,0.5832846760749817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.9757175323320553e-05,0.4466964304447174,0.0885777398943901,0.9499994516372681,0.0,0.1294923722743988,0.12925344705581665,0.12925344705581665,0.04832349717617035,0.000982882920652628,-8.481002705673646e-11,0.0,0.0,4.039214611053467,4.039214611053467,1.6377971172332764,1.6377971172332764,0.17589394748210907,0.0,0.0,0.0,0.0,0.2745315432548523,0.042017705738544464,0.11970269680023193,0.4965110719203949,0.5832846760749817,0.0,1.6511062383651733,1.6419017314910889,1.6377971172332764,1.644397497177124,0.5186834335327148,0.03165661171078682,0.0038773559499531984,1.0,3.0048720836639404,2.974097967147827,3.051929473876953,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,180,train,0.14981749653816223,0.12481512129306793,0.12501190602779388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4551137089729309,0.4551137089729309,0.4550817906856537,0.0,-0.01931173726916313,0.5119080543518066,1.0,0.0,1.0,0.0,0.0,0.00030466163298115134,0.0,0.0,0.0,0.0,0.2769567668437958,0.01554520521312952,0.22837507724761963,0.33990567922592163,0.585918664932251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2816194612241816e-05,0.44197729229927063,0.0860804095864296,0.9439412951469421,0.0,0.12501190602779388,0.12481512129306793,0.12481512129306793,0.04682699590921402,0.003214172087609768,3.2974539765362465e-11,0.0,0.0,4.250499248504639,4.250499248504639,1.6273154020309448,1.6273154020309448,0.17633871734142303,0.0,0.0,0.0,0.0,0.2769567370414734,0.04072074592113495,0.11868797987699509,0.49767181277275085,0.585918664932251,0.0,1.638052225112915,1.6320083141326904,1.6273154020309448,1.631522536277771,0.5119080543518066,0.03265572711825371,0.0039382814429700375,1.0,2.916240692138672,2.94679594039917,2.966461658477783,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,200,train,0.1914111226797104,0.15949755907058716,0.15956780314445496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4456360936164856,0.4456360936164856,0.44567233324050903,0.0,-0.018189337104558945,0.5090741515159607,1.0,0.0,1.0,0.0,0.0,0.00027772452449426055,0.0,0.0,0.0,0.0,0.2750532031059265,0.013746468350291252,0.23335447907447815,0.322706013917923,0.5842812061309814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.463555574649945e-05,0.43860891461372375,0.09031213819980621,0.9355882406234741,0.0,0.15956780314445496,0.15949755907058716,0.15949755907058716,0.0479809045791626,-0.014662005007266998,2.867124072880589e-11,0.0,0.0,4.2271246910095215,4.2271246910095215,1.6218308210372925,1.6218308210372925,0.17473281919956207,0.0,0.0,0.0,0.0,0.2750532031059265,0.03964552283287048,0.13291405141353607,0.4929594397544861,0.5842812061309814,0.0,1.6327694654464722,1.6260883808135986,1.6218308210372925,1.6255613565444946,0.5090741515159607,0.03180558979511261,0.004284844733774662,1.0,2.8715667724609375,2.9599666595458984,2.870309352874756,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
