backbone	best_metric	best_value	combo_id	ckpt_dir	mae	mse	rmse	mape	wape	lr	weight_decay	grad_clip	dropout	lambda_envpred	lambda_future_mi	lambda_swap	sparse_target
agcrn	mae	51.80242414732237	agcrn_combo_0008	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/agcrn/combo_0008	51.80242414732237	8088.230108037726	89.9345879405567	71.63320391886943	29.063928277642876	0.003	1e-5	5.0	0.1	0.05	0.01	0.05	0.3
graphwavenet	mae	14.37440570195516	graphwavenet_combo_0002	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/graphwavenet/combo_0002	14.37440570195516	551.5292088963964	23.48465901171223	8.84976187267819	6.7502237783895955	0.001	1e-4	5.0	0.3	0.05	0.01	0.05	0.3
stid_mlp	mae	14.788586135383126	stid_mlp_combo_0001	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_sweep/stid_mlp/combo_0001	14.788586135383126	567.5162544594154	23.822599657875617	9.441612389710572	6.961368900161606	0.001	1e-5	3.0	0.1	0.05	0.01	0.05	0.3
