epoch,step,split,total_loss,pred_loss,inv_loss,gate_loss,swap_loss,swap_diff_loss,swap_same_loss,kl_loss,effective_lambda_kl,effective_lambda_envpred,effective_lambda_future_mi,effective_lambda_swap,effective_lambda_sep,effective_lambda_mask_sparse,aux_schedule_factor,ind_loss,sparse_loss,entropy_loss,residual_norm_loss,env_consistency_loss,z_cons_loss,y_cons_loss,effective_lambda_z_cons,effective_lambda_y_cons,persistence_mi_loss,envpred_loss,future_mi_loss,future_mi_type,env_fut_nll,env_fut_nll_plus,env_fut_nll_minus,env_fut_kl,pred_fut_logvar_mean,pred_fut_mu_norm,future_mi_valid,sep_loss,sep_mi_type,club_upper_bound,club_fit_nll,cross_cov_loss,hsic_loss,rank_loss,mask_sparse_loss,effective_lambda_persistence_mi,rho_mean,rho_std,rho_min,rho_max,rho_entropy,delta_gain_mean,delta_gain_std,delta_gain_pos_ratio,s_gain_mean,persist_score_mean,persist_score_std,s_persist_mean,s_gate_mean,persistence_valid,potential_gain_mean,swap_delta_mean,swap_weight_mean,env_mu_abs_mean,env_std_mean,r_env_abs_mean,y_inv_mae,y_potential_mae,y_hat_mae,sep_projection_ratio,sep_cos_z_env_before,sep_cos_z_env_after,sep_lowrank_energy_ratio,sep_residual_norm,sep_z_raw_norm,sep_z_inv_norm,sep_env_raw_norm,sep_env_norm,sep_proj_norm,sep_basis_rank,sep_svd_top_singular_mean,sep_lowrank_rank,sep_env_residual_norm,mask_mean,mask_std,mask_min,mask_max,mask_entropy,mask_active_ratio,env_plus_norm,env_minus_norm,env_hist_norm,env_fut_norm,env_fut_pred_norm,fusion_gamma_abs_mean,fusion_beta_abs_mean,timestamp_valid,cur_time_emb_norm,seq_time_emb_norm,future_time_emb_norm,backbone_aux_loss,curriculum_horizon,cast_vq_loss,cast_commit_loss,cast_mi_loss,stone_graph_perturb_loss,stone_spatial_graph_entropy,stone_temporal_graph_entropy,val_mae,val_mse,val_rmse,val_mape,val_wape,val_mae_h3,val_rmse_h3,val_mape_h3,val_wape_h3,val_mae_h6,val_rmse_h6,val_mape_h6,val_wape_h6,val_mae_h12,val_rmse_h12,val_mape_h12,val_wape_h12,val_mae_avg12,val_rmse_avg12,val_mape_avg12,val_wape_avg12,lr
1,20,train,0.19989091157913208,0.16670069098472595,0.16595113277435303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5095498561859131,0.5095498561859131,0.50966876745224,0.0,0.01966339908540249,0.4660012125968933,1.0,0.0,1.0,0.0,0.0,0.0002567335614003241,0.0,0.0,0.0,0.0,0.27591022849082947,0.01435000728815794,0.23660808801651,0.3354416787624359,0.5867734551429749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0501910765015054e-05,0.470037579536438,0.06611070036888123,1.0012470483779907,0.0,0.16595113277435303,0.16670069098472595,0.16670069098472595,0.08312284201383591,0.020502833649516106,3.1166964842288536e-11,0.0,0.0,3.968351125717163,3.968351125717163,1.6787985563278198,1.6787985563278198,0.3141554594039917,0.0,0.0,0.0,0.0,0.27591025829315186,0.030215704813599586,0.18128570914268494,0.46233683824539185,0.5867734551429749,0.0,1.6875271797180176,1.6801352500915527,1.6787985563278198,1.6759064197540283,0.4660012125968933,0.01353483460843563,0.005266130901873112,1.0,3.03886079788208,3.042588233947754,3.0371150970458984,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,40,train,0.22303977608680725,0.18574604392051697,0.18646863102912903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5076050162315369,0.5076050162315369,0.5076456665992737,0.0,0.01790350116789341,0.4618370831012726,1.0,0.0,1.0,0.0,0.0,0.00021710847795475274,0.0,0.0,0.0,0.0,0.273793488740921,0.013385365717113018,0.23227643966674805,0.3214723765850067,0.5845092535018921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1056605217163451e-05,0.46472275257110596,0.07035970687866211,0.9991251230239868,0.0,0.18646863102912903,0.18574604392051697,0.18574604392051697,0.07133673876523972,0.012731552124023438,4.524542407402521e-10,0.0,0.0,3.9834790229797363,3.9834790229797363,1.6831908226013184,1.6831908226013184,0.2663830816745758,0.0,0.0,0.0,0.0,0.273793488740921,0.031476836651563644,0.164814293384552,0.43368321657180786,0.5845092535018921,0.0,1.691072702407837,1.6855878829956055,1.6831908226013184,1.681243896484375,0.4618370831012726,0.019305869936943054,0.006189502310007811,1.0,3.0249075889587402,3.032592535018921,3.143685817718506,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,60,train,0.16674856841564178,0.13895632326602936,0.13896119594573975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5041928887367249,0.5041928291320801,0.5042513608932495,0.0,0.01940523274242878,0.4716421365737915,1.0,0.0,1.0,0.0,0.0,0.00028833208489231765,0.0,0.0,0.0,0.0,0.2765848934650421,0.013371868059039116,0.23269984126091003,0.32662245631217957,0.5869749784469604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5238400010275654e-05,0.4592459499835968,0.0737663134932518,0.9950866103172302,0.0,0.13896119594573975,0.13895632326602936,0.13895632326602936,0.07130111753940582,0.02629765309393406,-6.185871259667408e-11,0.0,0.0,3.781550645828247,3.781550168991089,1.684733510017395,1.684733510017395,0.250729501247406,0.0,0.0,0.0,0.0,0.2765848934650421,0.033071015030145645,0.16955043375492096,0.4516635537147522,0.5869749784469604,0.0,1.6933411359786987,1.6874403953552246,1.684733510017395,1.6809439659118652,0.4716421365737915,0.02231162041425705,0.0054601579904556274,1.0,3.028921365737915,3.085081100463867,3.0423152446746826,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,80,train,0.2406063973903656,0.20042511820793152,0.20090636610984802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.497866690158844,0.4978666603565216,0.4978626072406769,0.0,0.018691297620534897,0.4595106840133667,1.0,0.0,1.0,0.0,0.0,0.0002971620124299079,0.0,0.0,0.0,0.0,0.27766239643096924,0.014752374961972237,0.22875568270683289,0.33766472339630127,0.5878905653953552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.529497164185159e-05,0.45659342408180237,0.07778766751289368,0.9914028644561768,0.0,0.20090636610984802,0.20042511820793152,0.20042511820793152,0.06593450158834457,0.0007058978662826121,-2.973656043625539e-10,0.0,0.0,3.7748496532440186,3.7748496532440186,1.683388113975525,1.683388113975525,0.22868289053440094,0.0,0.0,0.0,0.0,0.27766239643096924,0.03380858153104782,0.14685648679733276,0.473111093044281,0.5878905653953552,0.0,1.6895784139633179,1.687105655670166,1.683388113975525,1.68193519115448,0.4595106840133667,0.02499324642121792,0.006433935835957527,1.0,2.9605302810668945,3.0110480785369873,3.0571155548095703,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,100,train,0.16551002860069275,0.13792933523654938,0.13790346682071686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4982159435749054,0.4982159435749054,0.49820414185523987,0.0,0.019613251090049744,0.465534508228302,1.0,0.0,1.0,0.0,0.0,0.00028475088765844703,0.0,0.0,0.0,0.0,0.27612316608428955,0.012098207138478756,0.23082320392131805,0.3208225667476654,0.5865196585655212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.535726424772292e-05,0.4541275203227997,0.07850410044193268,0.9888286590576172,0.0,0.13790346682071686,0.13792933523654938,0.13792933523654938,0.058347463607788086,0.016712386161088943,3.47548621826288e-11,0.0,0.0,3.927555561065674,3.927555561065674,1.6837873458862305,1.6837873458862305,0.21075892448425293,0.0,0.0,0.0,0.0,0.27612316608428955,0.03311469778418541,0.15717171132564545,0.44727686047554016,0.5865196585655212,0.0,1.691764235496521,1.6869415044784546,1.6837873458862305,1.6833858489990234,0.465534508228302,0.026530815288424492,0.007789093069732189,1.0,2.8454771041870117,2.903611898422241,2.926335096359253,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,120,train,0.16334229707717896,0.13610202074050903,0.136201411485672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49613410234451294,0.49613410234451294,0.4961365759372711,0.0,0.01751639135181904,0.46545830368995667,1.0,0.0,1.0,0.0,0.0,0.00026302612968720496,0.0,0.0,0.0,0.0,0.2755681276321411,0.014000289142131805,0.22795912623405457,0.3276267349720001,0.5854374170303345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.6043438992928714e-05,0.4540395438671112,0.07917717844247818,0.9860883355140686,0.0,0.136201411485672,0.13610202074050903,0.13610202074050903,0.06389065831899643,-0.0022424866911023855,-2.4373389417853275e-10,0.0,0.0,3.9199721813201904,3.9199726581573486,1.6799403429031372,1.6799403429031372,0.22813019156455994,0.0,0.0,0.0,0.0,0.2755681276321411,0.03623960167169571,0.15271903574466705,0.46707940101623535,0.5854374170303345,0.0,1.6884320974349976,1.684124231338501,1.6799403429031372,1.6823253631591797,0.46545830368995667,0.02888709492981434,0.007311583496630192,1.0,3.085559129714966,3.08996844291687,3.018563985824585,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,140,train,0.16802819073200226,0.13999953866004944,0.1401432454586029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48996660113334656,0.48996660113334656,0.489990770816803,0.0,0.020030520856380463,0.46071892976760864,1.0,0.0,1.0,0.0,0.0,0.00025321744033135474,0.0,0.0,0.0,0.0,0.2743672728538513,0.013917610049247742,0.22672930359840393,0.3345823884010315,0.5842386484146118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.339066698681563e-05,0.4525824189186096,0.07895239442586899,0.9804290533065796,0.0,0.1401432454586029,0.13999953866004944,0.13999953866004944,0.05751100555062294,0.016643347218632698,-4.4336131987954275e-11,0.0,0.0,3.745042324066162,3.745042324066162,1.6740243434906006,1.6740243434906006,0.19507074356079102,0.0,0.0,0.0,0.0,0.2743672728538513,0.03640979528427124,0.15621072053909302,0.4896807372570038,0.5842386484146118,0.0,1.6822818517684937,1.6782633066177368,1.6740243434906006,1.670127272605896,0.46071892976760864,0.031056342646479607,0.008627824485301971,1.0,2.782407283782959,2.8896377086639404,2.9116408824920654,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,160,train,0.16616545617580414,0.13845989108085632,0.13852785527706146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.484336256980896,0.4843362271785736,0.48435473442077637,0.0,0.018464118242263794,0.46012383699417114,1.0,0.0,1.0,0.0,0.0,0.000282617867924273,0.0,0.0,0.0,0.0,0.2730032205581665,0.013934892602264881,0.23269379138946533,0.3394487500190735,0.5830174088478088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.445394370122813e-05,0.4484509229660034,0.08184211701154709,0.9738510847091675,0.0,0.13852785527706146,0.13845989108085632,0.13845989108085632,0.054281897842884064,0.012244373559951782,-1.0407492229136395e-10,0.0,0.0,3.853998899459839,3.853998899459839,1.6699150800704956,1.6699150800704956,0.18706172704696655,0.0,0.0,0.0,0.0,0.2730032205581665,0.03575815260410309,0.1608131229877472,0.47676631808280945,0.5830174088478088,0.0,1.6773724555969238,1.6741300821304321,1.6699150800704956,1.6736435890197754,0.46012383699417114,0.03199463337659836,0.00935056246817112,1.0,2.823683977127075,2.831928014755249,2.822824239730835,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,180,train,0.15287555754184723,0.12738972902297974,0.12742914259433746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47451409697532654,0.47451409697532654,0.4744846820831299,0.0,0.017799528315663338,0.4597451090812683,1.0,0.0,1.0,0.0,0.0,0.00043635477777570486,0.0,0.0,0.0,0.0,0.2717709541320801,0.013419492170214653,0.23005811870098114,0.32970815896987915,0.5816540718078613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.7458672775537707e-05,0.4424324631690979,0.08589250594377518,0.9638254046440125,0.0,0.12742914259433746,0.12738972902297974,0.12738972902297974,0.05583671107888222,0.004204203374683857,-2.962779327431164e-11,0.0,0.0,3.913508892059326,3.913508892059326,1.6601823568344116,1.6601823568344116,0.19522476196289062,0.0,0.0,0.0,0.0,0.2717709541320801,0.03653679043054581,0.14062468707561493,0.4737392067909241,0.5816540718078613,0.0,1.6648452281951904,1.6658103466033936,1.6601823568344116,1.6646565198898315,0.4597451090812683,0.03281638026237488,0.0088459812104702,1.0,2.9116978645324707,2.9115309715270996,2.8978991508483887,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,200,train,0.17983846366405487,0.14986971020698547,0.14984378218650818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46984562277793884,0.46984562277793884,0.469889760017395,0.0,0.021440472453832626,0.4665708839893341,1.0,0.0,1.0,0.0,0.0,0.00034325962769798934,0.0,0.0,0.0,0.0,0.272797554731369,0.012464563362300396,0.2307090014219284,0.3240407109260559,0.5828016400337219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7289206880377606e-05,0.4408189356327057,0.08756916224956512,0.956458568572998,0.0,0.14984378218650818,0.14986971020698547,0.14986971020698547,0.05338846147060394,0.010027388110756874,3.055811437224776e-10,0.0,0.0,3.7540652751922607,3.7540652751922607,1.6544079780578613,1.6544079780578613,0.18210449814796448,0.0,0.0,0.0,0.0,0.272797554731369,0.03580505773425102,0.15278787910938263,0.46070197224617004,0.5828016400337219,0.0,1.6570216417312622,1.6605685949325562,1.6544079780578613,1.6586803197860718,0.4665708839893341,0.033589623868465424,0.009469566866755486,1.0,2.8682775497436523,2.865548610687256,2.955495595932007,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
