epoch,step,split,total_loss,pred_loss,inv_loss,gate_loss,swap_loss,swap_diff_loss,swap_same_loss,kl_loss,effective_lambda_kl,effective_lambda_envpred,effective_lambda_future_mi,effective_lambda_swap,effective_lambda_sep,effective_lambda_mask_sparse,aux_schedule_factor,ind_loss,sparse_loss,entropy_loss,residual_norm_loss,env_consistency_loss,z_cons_loss,y_cons_loss,effective_lambda_z_cons,effective_lambda_y_cons,persistence_mi_loss,envpred_loss,future_mi_loss,future_mi_type,env_fut_nll,env_fut_nll_plus,env_fut_nll_minus,env_fut_kl,pred_fut_logvar_mean,pred_fut_mu_norm,future_mi_valid,sep_loss,sep_mi_type,club_upper_bound,club_fit_nll,cross_cov_loss,hsic_loss,rank_loss,mask_sparse_loss,effective_lambda_persistence_mi,rho_mean,rho_std,rho_min,rho_max,rho_entropy,delta_gain_mean,delta_gain_std,delta_gain_pos_ratio,s_gain_mean,persist_score_mean,persist_score_std,s_persist_mean,s_gate_mean,persistence_valid,potential_gain_mean,swap_delta_mean,swap_weight_mean,env_mu_abs_mean,env_std_mean,r_env_abs_mean,y_inv_mae,y_potential_mae,y_hat_mae,sep_projection_ratio,sep_cos_z_env_before,sep_cos_z_env_after,sep_lowrank_energy_ratio,sep_residual_norm,sep_z_raw_norm,sep_z_inv_norm,sep_env_raw_norm,sep_env_norm,sep_proj_norm,sep_basis_rank,sep_svd_top_singular_mean,sep_lowrank_rank,sep_env_residual_norm,mask_mean,mask_std,mask_min,mask_max,mask_entropy,mask_active_ratio,env_plus_norm,env_minus_norm,env_hist_norm,env_fut_norm,env_fut_pred_norm,fusion_gamma_abs_mean,fusion_beta_abs_mean,timestamp_valid,cur_time_emb_norm,seq_time_emb_norm,future_time_emb_norm,backbone_aux_loss,grad_consensus/agree_mean,grad_consensus/agree_std,grad_consensus/agree_min,grad_consensus/agree_max,grad_consensus/rho_mean,grad_consensus/rho_max,grad_consensus/using_fallback_z_inv,grad_consensus/ema_agree_mean,grad_surgery/enabled,grad_surgery/conflict_cos,grad_surgery/conflict_dot,grad_surgery/projection_norm,grad_surgery/aux_grad_norm,grad_surgery/primary_grad_norm,curriculum_horizon,cast_vq_loss,cast_commit_loss,cast_mi_loss,stone_graph_perturb_loss,stone_spatial_graph_entropy,stone_temporal_graph_entropy,loss_z_inv_ib,z_inv_ib/enabled,z_inv_ib/type,z_inv_ib/kl,z_inv_ib/beta,z_inv_ib/z_mu_abs_mean,z_inv_ib/z_logvar_mean,z_inv_ib/z_sample_std,val_mae,val_mse,val_rmse,val_mape,val_wape,val_mae_h3,val_rmse_h3,val_mape_h3,val_wape_h3,val_mae_h6,val_rmse_h6,val_mape_h6,val_wape_h6,val_mae_h12,val_rmse_h12,val_mape_h12,val_wape_h12,val_mae_avg12,val_rmse_avg12,val_mape_avg12,val_wape_avg12,lr
1,20,train,76.1159896850586,63.42995834350586,63.429935455322266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5058668255805969,0.5058667659759521,0.5058594942092896,0.0,0.006490584462881088,0.41968047618865967,1.0,0.0,1.0,0.0,0.0,0.0001297576236538589,0.0,0.0,0.0,0.0,0.27727144956588745,0.00920002069324255,0.24360571801662445,0.31411704421043396,0.5892454981803894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.368292891536839e-05,0.46735718846321106,0.06468363106250763,0.9968164563179016,0.0,63.429935455322266,63.42995834350586,63.42995834350586,0.0898653045296669,0.03469834476709366,1.1685867551403106e-10,0.0,0.0,6.554635047912598,6.554636001586914,1.6765844821929932,1.6765844821929932,0.5729352235794067,0.0,0.0,0.0,0.0,0.27727147936820984,0.021122826263308525,0.187850221991539,0.383720725774765,0.5892454981803894,0.0,1.6759033203125,1.6792939901351929,1.6765844821929932,1.676087498664856,0.41968047618865967,0.0,0.008728055283427238,1.0,3.2454659938812256,3.2266910076141357,3.2239179611206055,0.0,,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.802618423127569e-05,1.0,1.0,0.4802618622779846,9.999999747378752e-05,0.7652024626731873,-0.3007032871246338,1.2861963510513306,,,,,,,,,,,,,,,,,,,,,,0.001
1,40,train,42.032291412353516,35.026676177978516,35.02688217163086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5088170766830444,0.5088171362876892,0.5088121891021729,0.0,0.0066845775581896305,0.41718441247940063,1.0,0.0,1.0,0.0,0.0,0.00045999433496035635,0.0,0.0,0.0,0.0,0.28067272901535034,0.005371538922190666,0.26000720262527466,0.30008310079574585,0.5930748581886292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.890318713383749e-05,0.45176962018013,0.07914979755878448,0.9981893301010132,0.0,35.02688217163086,35.026676177978516,35.026676177978516,0.04705826938152313,-0.0010164229897782207,-3.6798022962081234e-11,0.0,0.0,13.533761978149414,13.533761978149414,1.7067466974258423,1.7067466974258423,0.615165650844574,0.0,0.0,0.0,0.0,0.28067272901535034,0.014392725192010403,0.21826203167438507,0.3615346848964691,0.5930748581886292,0.0,1.7035855054855347,1.7091922760009766,1.7067466974258423,1.7034428119659424,0.41718441247940063,0.0,0.006516654510051012,1.0,3.194507360458374,3.1825225353240967,3.1629180908203125,0.0,,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002419476950308308,1.0,1.0,2.4194769859313965,9.999999747378752e-05,1.4260042905807495,-2.4944798946380615,1.780489444732666,,,,,,,,,,,,,,,,,,,,,,0.001
1,60,train,34.236690521240234,28.530567169189453,28.528745651245117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5075203776359558,0.5075203776359558,0.5075295567512512,0.0,0.006371794734150171,0.4178728461265564,1.0,0.0,1.0,0.0,0.0,0.0004353626281954348,0.0,0.0,0.0,0.0,0.28244200348854065,0.0027637460734695196,0.27220115065574646,0.29330503940582275,0.5951250195503235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00021288478455971926,0.43666839599609375,0.09306329488754272,0.9948446154594421,0.0,28.528745651245117,28.530567169189453,28.530567169189453,0.02297949604690075,0.001036557019688189,1.604428118140433e-10,0.0,0.0,16.773244857788086,16.773244857788086,1.7321112155914307,1.7321112155914307,0.37765419483184814,0.0,0.0,0.0,0.0,0.28244200348854065,0.006973234470933676,0.25270554423332214,0.3178764879703522,0.5951250195503235,0.0,1.7293033599853516,1.7334896326065063,1.7321112155914307,1.729750394821167,0.4178728461265564,0.0,0.006795243825763464,1.0,3.035966396331787,3.1791343688964844,3.1746559143066406,0.0,,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003749025345314294,1.0,1.0,3.749025583267212,9.999999747378752e-05,1.6817282438278198,-4.109587669372559,2.033876895904541,,,,,,,,,,,,,,,,,,,,,,0.001
1,80,train,36.07393264770508,30.061105728149414,30.06214141845703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5069460868835449,0.5069460868835449,0.5069483518600464,0.0,0.006979265250265598,0.41703560948371887,1.0,0.0,1.0,0.0,0.0,0.0003340164839755744,0.0,0.0,0.0,0.0,0.28551381826400757,0.0012932087993249297,0.28048571944236755,0.28974515199661255,0.5980605483055115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0003519296587910503,0.41590648889541626,0.10638764500617981,0.9921075105667114,0.0,30.06214141845703,30.061105728149414,30.061105728149414,0.017529798671603203,0.0041816504672169685,6.78520989394471e-11,0.0,0.0,17.285863876342773,17.285863876342773,1.7646994590759277,1.7646994590759277,0.29261812567710876,0.0,0.0,0.0,0.0,0.28551381826400757,0.0032125660218298435,0.2707587480545044,0.29998669028282166,0.5980605483055115,0.0,1.7630606889724731,1.7654098272323608,1.7646994590759277,1.7671631574630737,0.41703560948371887,0.0,0.007062278222292662,1.0,3.0910165309906006,3.1413676738739014,3.153599500656128,0.0,,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004021390341222286,1.0,1.0,4.021390438079834,9.999999747378752e-05,1.68079674243927,-4.623907089233398,2.0339386463165283,,,,,,,,,,,,,,,,,,,,,,0.001
1,100,train,30.345516204833984,25.287586212158203,25.287715911865234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5075501799583435,0.5075502395629883,0.5075340867042542,0.0,0.006701306439936161,0.416169673204422,1.0,0.0,1.0,0.0,0.0,0.00045325083192437887,0.0,0.0,0.0,0.0,0.28884491324424744,0.0005851422902196646,0.2868921160697937,0.29088807106018066,0.6011088490486145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.064401218784042e-05,0.41067007184028625,0.11318574845790863,0.9915207624435425,0.0,25.287715911865234,25.287586212158203,25.287586212158203,0.016454316675662994,-0.0014494749484583735,-6.782984590669727e-11,0.0,0.0,16.779024124145508,16.779024124145508,1.7774827480316162,1.7774827480316162,0.2636091113090515,0.0,0.0,0.0,0.0,0.2888449430465698,0.0014838858041912317,0.2823789119720459,0.2960347533226013,0.6011088490486145,0.0,1.7766609191894531,1.7778286933898926,1.7774827480316162,1.7819035053253174,0.416169673204422,0.0,0.007191318552941084,1.0,2.9765398502349854,3.0239856243133545,3.0355753898620605,0.0,,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003864796890411526,1.0,1.0,3.8647968769073486,9.999999747378752e-05,1.611793041229248,-4.595225811004639,1.9713503122329712,,,,,,,,,,,,,,,,,,,,,,0.001
1,120,train,32.26332473754883,26.88608169555664,26.884368896484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5078630447387695,0.5078630447387695,0.5078714489936829,0.0,0.006420953199267387,0.41994473338127136,1.0,0.0,1.0,0.0,0.0,0.00031678297091275454,0.0,0.0,0.0,0.0,0.29271459579467773,0.0002994779497385025,0.2915794551372528,0.2938125729560852,0.604563295841217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.6439107386977412e-05,0.4081796109676361,0.11223793029785156,0.9916115403175354,0.0,26.884368896484375,26.88608169555664,26.88608169555664,0.015461652539670467,0.002227915683761239,-3.208471335836016e-11,0.0,0.0,16.334924697875977,16.334924697875977,1.7809556722640991,1.7809556722640991,0.23922765254974365,0.0,0.0,0.0,0.0,0.29271456599235535,0.0006844704039394855,0.289753794670105,0.29597970843315125,0.604563295841217,0.0,1.780603051185608,1.781103491783142,1.7809556722640991,1.7832496166229248,0.41994473338127136,0.0,0.006603165529668331,1.0,3.1397385597229004,3.095914840698242,3.091421127319336,0.0,,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003718962543644011,1.0,1.0,3.7189626693725586,9.999999747378752e-05,1.548565149307251,-4.6310906410217285,1.897640347480774,,,,,,,,,,,,,,,,,,,,,,0.001
1,140,train,33.19078063964844,27.658477783203125,27.65953254699707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5069425702095032,0.5069425702095032,0.506936252117157,0.0,0.006785978097468615,0.41918855905532837,1.0,0.0,1.0,0.0,0.0,0.000315242592478171,0.0,0.0,0.0,0.0,0.2965361475944519,0.0001243399892700836,0.2960736155509949,0.2969895005226135,0.6079005002975464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.925542392200441e-06,0.40497025847435,0.11461379379034042,0.9915359020233154,0.0,27.65953254699707,27.658477783203125,27.658477783203125,0.01404793281108141,-0.000920584483537823,4.0398528272644896e-11,0.0,0.0,16.894954681396484,16.894954681396484,1.7836257219314575,1.7836257219314575,0.22332482039928436,0.0,0.0,0.0,0.0,0.2965361475944519,0.0002947088796645403,0.29528096318244934,0.2981368601322174,0.6079005002975464,0.0,1.783494472503662,1.7836811542510986,1.7836257219314575,1.7874315977096558,0.41918855905532837,0.0,0.006472892127931118,1.0,3.1603517532348633,2.9905946254730225,2.97944974899292,0.0,,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003977393207605928,1.0,1.0,3.977393388748169,9.999999747378752e-05,1.578769326210022,-5.015052318572998,1.925920009613037,,,,,,,,,,,,,,,,,,,,,,0.001
1,160,train,31.59258460998535,26.326763153076172,26.326913833618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5076163411140442,0.5076162815093994,0.507614016532898,0.0,0.006712585687637329,0.4113357365131378,1.0,0.0,1.0,0.0,0.0,0.00023966075968928635,0.0,0.0,0.0,0.0,0.30043989419937134,5.442195833893493e-05,0.3002574145793915,0.30062469840049744,0.6112365126609802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.7271078831981868e-05,0.3981211185455322,0.12111514061689377,0.9911800026893616,0.0,26.326913833618164,26.326763153076172,26.326763153076172,0.012607818469405174,-0.00028474084683693945,-8.027458905934814e-12,0.0,0.0,17.753555297851562,17.753555297851562,1.8031842708587646,1.8031842708587646,0.21295852959156036,0.0,0.0,0.0,0.0,0.30043989419937134,0.00012213281297590584,0.29987823963165283,0.3009730279445648,0.6112365126609802,0.0,1.8031381368637085,1.80320405960083,1.8031842708587646,1.8024245500564575,0.4113357365131378,0.0,0.0062424312345683575,1.0,2.9277572631835938,2.9123973846435547,2.9009652137756348,0.0,,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043782033026218414,1.0,1.0,4.378203392028809,9.999999747378752e-05,1.6284295320510864,-5.622029781341553,1.9721013307571411,,,,,,,,,,,,,,,,,,,,,,0.001
1,167,train_epoch,47.38018439058772,39.483260320332235,39.48308791657408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5070979306083954,0.507097928466911,0.5071001084978709,0.0,0.006592188827961148,0.4177502313416875,1.0,0.0,1.0,0.0,0.0,0.00034934175293997185,0.0,0.0,0.0,0.0,0.2876507686283774,0.0029623272410194143,0.2772508426876125,0.29938206558455965,0.5995954214455839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.035162948075671e-05,0.42776359894318494,0.09805875641857079,0.9936687874936772,0.0,39.48308791657408,39.483260320332235,39.483260320332235,0.034260106362223985,0.00777169943368986,-1.1138854794787238e-11,0.0,0.0,14.402057677685857,14.402057657698672,1.74733567237854,1.74733567237854,0.35750882532782186,0.0,0.0,0.0,0.0,0.28765076166855363,0.007314065732006095,0.25718740993988015,0.3264233134463876,0.5995954214455839,0.0,1.7463112819694473,1.7484544172972263,1.74733567237854,1.7469816115088093,0.4177502313416875,0.0,0.007027680002721751,1.0,3.1242254694064933,3.1244922483752586,3.124759968169435,0.0,,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030654939486132623,1.0,1.0,3.065494030691728,9.999999747378752e-05,1.4098020745608622,-3.642022185509991,1.7946619002405042,,,,,,,,,,,,,,,,,,,,,,0.001
1,167,val,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.466703414916992,1567.3448486328125,39.58970634688785,0.32252708077430725,0.12187666445970535,22.844987869262695,31.574826452846004,0.24324670433998108,0.09790051728487015,28.093244552612305,38.544472906002525,0.3500820994377136,0.12029074132442474,33.54569625854492,47.931459446667176,0.34277674555778503,0.14341260492801666,28.466703414916992,39.58970634688785,0.32252708077430725,0.12187666445970535,0.001
