epoch,step,split,total_loss,pred_loss,inv_loss,gate_loss,swap_loss,swap_diff_loss,swap_same_loss,kl_loss,effective_lambda_kl,effective_lambda_envpred,effective_lambda_future_mi,effective_lambda_swap,effective_lambda_sep,effective_lambda_mask_sparse,aux_schedule_factor,ind_loss,sparse_loss,entropy_loss,residual_norm_loss,env_consistency_loss,z_cons_loss,y_cons_loss,effective_lambda_z_cons,effective_lambda_y_cons,persistence_mi_loss,envpred_loss,future_mi_loss,future_mi_type,env_fut_nll,env_fut_nll_plus,env_fut_nll_minus,env_fut_kl,pred_fut_logvar_mean,pred_fut_mu_norm,future_mi_valid,sep_loss,sep_mi_type,club_upper_bound,club_fit_nll,cross_cov_loss,hsic_loss,rank_loss,mask_sparse_loss,effective_lambda_persistence_mi,rho_mean,rho_std,rho_min,rho_max,rho_entropy,delta_gain_mean,delta_gain_std,delta_gain_pos_ratio,s_gain_mean,persist_score_mean,persist_score_std,s_persist_mean,s_gate_mean,persistence_valid,potential_gain_mean,swap_delta_mean,swap_weight_mean,env_mu_abs_mean,env_std_mean,r_env_abs_mean,y_inv_mae,y_potential_mae,y_hat_mae,sep_projection_ratio,sep_cos_z_env_before,sep_cos_z_env_after,sep_lowrank_energy_ratio,sep_residual_norm,sep_z_raw_norm,sep_z_inv_norm,sep_env_raw_norm,sep_env_norm,sep_proj_norm,sep_basis_rank,sep_svd_top_singular_mean,sep_lowrank_rank,sep_env_residual_norm,mask_mean,mask_std,mask_min,mask_max,mask_entropy,mask_active_ratio,env_plus_norm,env_minus_norm,env_hist_norm,env_fut_norm,env_fut_pred_norm,fusion_gamma_abs_mean,fusion_beta_abs_mean,timestamp_valid,cur_time_emb_norm,seq_time_emb_norm,future_time_emb_norm,backbone_aux_loss,grad_consensus/agree_mean,grad_consensus/agree_std,grad_consensus/agree_min,grad_consensus/agree_max,grad_consensus/rho_mean,grad_consensus/rho_max,grad_consensus/using_fallback_z_inv,grad_consensus/ema_agree_mean,grad_surgery/enabled,grad_surgery/conflict_cos,grad_surgery/conflict_dot,grad_surgery/projection_norm,grad_surgery/aux_grad_norm,grad_surgery/primary_grad_norm,curriculum_horizon,cast_vq_loss,cast_commit_loss,cast_mi_loss,stone_graph_perturb_loss,stone_spatial_graph_entropy,stone_temporal_graph_entropy,val_mae,val_mse,val_rmse,val_mape,val_wape,val_mae_h3,val_rmse_h3,val_mape_h3,val_wape_h3,val_mae_h6,val_rmse_h6,val_mape_h6,val_wape_h6,val_mae_h12,val_rmse_h12,val_mape_h12,val_wape_h12,val_mae_avg12,val_rmse_avg12,val_mape_avg12,val_wape_avg12,lr
1,20,train,41.52139663696289,34.60127258300781,34.60062026977539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5105187296867371,0.5105187296867371,0.5105107426643372,0.0,-0.00343729043379426,0.4475841522216797,1.0,0.0,1.0,0.0,0.0,0.00016348612552974373,0.0,0.0,0.0,0.0,0.26526084542274475,0.006765380036085844,0.23845577239990234,0.28837457299232483,0.5778728723526001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0001403156784363091,0.46889227628707886,0.06628046184778214,1.0022356510162354,0.0,34.60062026977539,34.60127258300781,34.60127258300781,0.06462891399860382,-0.009264701046049595,8.776232518492577e-11,0.0,0.0,5.851431369781494,5.851431369781494,1.6777746677398682,1.6777746677398682,0.36017918586730957,0.0,0.0,0.0,0.0,0.26526084542274475,0.01548057235777378,0.18880406022071838,0.3450101315975189,0.5778728723526001,0.0,1.6803079843521118,1.678162693977356,1.6777746677398682,1.6762491464614868,0.4475841522216797,0.0,0.011344581842422485,1.0,3.335937023162842,3.315164566040039,3.2609729766845703,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,72.51748657226562,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,40,train,36.255889892578125,30.212749481201172,30.215707778930664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5065827369689941,0.5065827369689941,0.5065598487854004,0.0,-0.0034066017251461744,0.443025678396225,1.0,0.0,1.0,0.0,0.0,0.0001625379518372938,0.0,0.0,0.0,0.0,0.2726024389266968,0.0039818016812205315,0.26006966829299927,0.28972524404525757,0.5855951309204102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00018460142018739134,0.46126091480255127,0.07436233758926392,0.9978360533714294,0.0,30.215707778930664,30.212749481201172,30.212749481201172,0.04530533030629158,-0.005561388563364744,-9.953548402164003e-11,0.0,0.0,5.558756351470947,5.5587568283081055,1.6817282438278198,1.6817282438278198,0.21325278282165527,0.0,0.0,0.0,0.0,0.2726024389266968,0.009655076079070568,0.23066329956054688,0.31782957911491394,0.5855951309204102,0.0,1.683551549911499,1.6815624237060547,1.6817282438278198,1.6827561855316162,0.443025678396225,0.0,0.011920804157853127,1.0,3.0727152824401855,3.0419650077819824,3.017617702484131,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,123.73617553710938,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,60,train,31.850234985351562,26.54165267944336,26.542905807495117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5043216943740845,0.5043216943740845,0.5043026804924011,0.0,-0.0034815322142094374,0.44594839215278625,1.0,0.0,1.0,0.0,0.0,0.00020670279627665877,0.0,0.0,0.0,0.0,0.2791047990322113,0.0023845089599490166,0.2711496353149414,0.2887358069419861,0.5920198559761047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.00043600902426987886,0.448587030172348,0.0848439559340477,0.9937768578529358,0.0,26.542905807495117,26.54165267944336,26.54165267944336,0.04167192801833153,-0.004663487430661917,-3.3429051627537065e-12,0.0,0.0,5.929784774780273,5.929784774780273,1.70088791847229,1.70088791847229,0.20287615060806274,0.0,0.0,0.0,0.0,0.2791047990322113,0.005882785655558109,0.2527282238006592,0.30944618582725525,0.5920198559761047,0.0,1.7020756006240845,1.7006170749664307,1.70088791847229,1.7024989128112793,0.44594839215278625,0.0,0.012421295046806335,1.0,3.241957187652588,3.0392253398895264,3.0455145835876465,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,104.14812469482422,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,80,train,37.14316940307617,30.95229721069336,30.954362869262695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5040150880813599,0.5040150880813599,0.5040137767791748,0.0,-0.0029130957555025816,0.4429810345172882,1.0,0.0,1.0,0.0,0.0,0.00011651836393866688,0.0,0.0,0.0,0.0,0.284132182598114,0.0015280498191714287,0.2784837484359741,0.289754182100296,0.596782922744751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0002476656809449196,0.43285512924194336,0.09947820007801056,0.9909287095069885,0.0,30.954362869262695,30.95229721069336,30.95229721069336,0.041187986731529236,-0.0061746444553136826,3.085333377672583e-11,0.0,0.0,5.223463535308838,5.223463535308838,1.7284457683563232,1.7284457683563232,0.17994564771652222,0.0,0.0,0.0,0.0,0.284132182598114,0.0035433797165751457,0.26741594076156616,0.30015426874160767,0.596782922744751,0.0,1.7291055917739868,1.7282500267028809,1.7284457683563232,1.7263938188552856,0.4429810345172882,0.0,0.012400200590491295,1.0,3.0203983783721924,3.0102481842041016,2.9816970825195312,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,112.29327392578125,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,100,train,37.062828063964844,30.88677978515625,30.880239486694336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5042465329170227,0.5042465329170227,0.504271388053894,0.0,-0.0030725232791155577,0.44071364402770996,1.0,0.0,1.0,0.0,0.0,0.00024024109006859362,0.0,0.0,0.0,0.0,0.28837329149246216,0.0007608394371345639,0.28533899784088135,0.29116466641426086,0.6006779670715332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.491594442399219e-05,0.40475961565971375,0.1217038556933403,0.9875749945640564,0.0,30.880239486694336,30.88677978515625,30.88677978515625,0.03234993666410446,-0.005425369367003441,-6.857599904597222e-11,0.0,0.0,5.664155006408691,5.664155006408691,1.7854366302490234,1.7854366302490234,0.1446254849433899,0.0,0.0,0.0,0.0,0.28837329149246216,0.0021050439681857824,0.27885448932647705,0.3006637692451477,0.6006779670715332,0.0,1.7858190536499023,1.7853055000305176,1.7854366302490234,1.7829595804214478,0.44071364402770996,0.0,0.011435295455157757,1.0,2.7911107540130615,2.8434786796569824,2.877028226852417,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,148.0492401123047,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,120,train,31.625699996948242,26.355167388916016,26.352664947509766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5068862438201904,0.5068862438201904,0.5068777203559875,0.0,-0.0017557546962052584,0.4368847608566284,1.0,0.0,1.0,0.0,0.0,0.00044551200699061155,0.0,0.0,0.0,0.0,0.2922651171684265,0.0004963477258570492,0.29049748182296753,0.29434213042259216,0.6041631102561951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.00017500204558018595,0.3652447462081909,0.15345792472362518,0.9838769435882568,0.0,26.352664947509766,26.355167388916016,26.355167388916016,0.03210585191845894,-0.0012677208287641406,-6.311248051948937e-11,0.0,0.0,5.726878643035889,5.726878643035889,1.8800371885299683,1.8800371885299683,0.15141890943050385,0.0,0.0,0.0,0.0,0.29226505756378174,0.001325754215940833,0.286456823348999,0.29842913150787354,0.6041631102561951,0.0,1.8800861835479736,1.8800257444381714,1.8800371885299683,1.8727765083312988,0.4368847608566284,0.0,0.009417178109288216,1.0,2.9128055572509766,2.8860487937927246,2.888622760772705,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,99.36112213134766,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,140,train,29.726821899414062,24.771957397460938,24.774320602416992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5130831003189087,0.5130831599235535,0.5131036639213562,0.0,-0.002403261372819543,0.44343385100364685,1.0,0.0,1.0,0.0,0.0,0.0003557490126695484,0.0,0.0,0.0,0.0,0.29618316888809204,0.0002892619522754103,0.2950517535209656,0.29720044136047363,0.6075938940048218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.00010771380038931966,0.34726810455322266,0.1638692021369934,0.9854466319084167,0.0,24.774320602416992,24.771957397460938,24.771957397460938,0.03047315962612629,-0.01270264945924282,-8.603569245924092e-11,0.0,0.0,5.785531044006348,5.785531044006348,1.9313546419143677,1.9313546419143677,0.14031217992305756,0.0,0.0,0.0,0.0,0.29618316888809204,0.0008378176135011017,0.29238197207450867,0.3001469373703003,0.6075938940048218,0.0,1.9312183856964111,1.9314155578613281,1.9313546419143677,1.9307247400283813,0.44343385100364685,0.0,0.00828322023153305,1.0,2.859374523162842,2.8514764308929443,2.873457670211792,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,76.61344146728516,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,160,train,36.79310607910156,30.662050247192383,30.655271530151367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5192779898643494,0.5192779898643494,0.519264817237854,0.0,-0.002026673872023821,0.4435954689979553,1.0,0.0,1.0,0.0,0.0,0.0032541495747864246,0.0,0.0,0.0,0.0,0.30019861459732056,0.00015424824960064143,0.29956793785095215,0.3007664084434509,0.6110319495201111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0003338637761771679,0.3197369873523712,0.18442562222480774,0.9856408834457397,0.0,30.655271530151367,30.662050247192383,30.662050247192383,0.030483700335025787,-0.0018446393078193069,-2.1216924050992958e-10,0.0,0.0,5.56838321685791,5.56838321685791,2.028651475906372,2.028651475906372,0.13324430584907532,0.0,0.0,0.0,0.0,0.30019861459732056,0.0004951186128892004,0.29777538776397705,0.3022410273551941,0.6110319495201111,0.0,2.0286061763763428,2.028672218322754,2.028651475906372,2.0243661403656006,0.4435954689979553,0.0,0.006759095471352339,1.0,2.7216298580169678,2.680389404296875,2.655033588409424,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,154.12530517578125,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,167,train_epoch,38.90993448360238,32.42497575497199,32.42479334619944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5087736166879803,0.508773614546496,0.5087763834856227,0.0,-0.0028178901063044093,0.44278917965774767,1.0,0.0,1.0,0.0,0.0,0.0005293499626439556,0.0,0.0,0.0,0.0,0.28315019607543945,0.0024777905334799387,0.27432841508688327,0.2928503807076437,0.5953407426794132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.613949285670163e-06,0.4110811888100858,0.11472592273068999,0.9916683149908831,0.0,32.42479334619944,32.42497575497199,32.42497575497199,0.042613159452459054,-0.003978693879573344,7.454150736450485e-12,0.0,0.0,5.453167774006278,5.453167768295653,1.7923950649307159,1.7923950649307159,0.19703645223450517,0.0,0.0,0.0,0.0,0.28315018893715865,0.005973998163889502,0.2563685047590804,0.31307803799292283,0.5953407426794132,0.0,1.7934486373455938,1.792417727544636,1.7923950649307159,1.7917482267596765,0.44278917965774767,0.0,0.01043826052054629,1.0,2.9791773664737176,2.9804915810773474,2.9800919629856497,0.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,103.81050057325534,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,167,val,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.02118492126465,1212.7216796875,34.82415368228638,0.2737555205821991,0.09856235980987549,19.223390579223633,28.363336930550634,0.2721921503543854,0.08238042891025543,22.476516723632812,33.727585873111714,0.2738531827926636,0.0962408259510994,28.573896408081055,43.42572625957884,0.2868519723415375,0.12215743213891983,23.02118492126465,34.82415368228638,0.2737555205821991,0.09856235980987549,0.001
