epoch,step,split,total_loss,pred_loss,inv_loss,gate_loss,swap_loss,swap_diff_loss,swap_same_loss,kl_loss,effective_lambda_kl,effective_lambda_envpred,effective_lambda_future_mi,effective_lambda_swap,effective_lambda_sep,effective_lambda_mask_sparse,aux_schedule_factor,ind_loss,sparse_loss,entropy_loss,residual_norm_loss,env_consistency_loss,z_cons_loss,y_cons_loss,effective_lambda_z_cons,effective_lambda_y_cons,persistence_mi_loss,envpred_loss,future_mi_loss,future_mi_type,env_fut_nll,env_fut_nll_plus,env_fut_nll_minus,env_fut_kl,pred_fut_logvar_mean,pred_fut_mu_norm,future_mi_valid,sep_loss,sep_mi_type,club_upper_bound,club_fit_nll,cross_cov_loss,hsic_loss,rank_loss,mask_sparse_loss,effective_lambda_persistence_mi,rho_mean,rho_std,rho_min,rho_max,rho_entropy,delta_gain_mean,delta_gain_std,delta_gain_pos_ratio,s_gain_mean,persist_score_mean,persist_score_std,s_persist_mean,s_gate_mean,persistence_valid,potential_gain_mean,swap_delta_mean,swap_weight_mean,env_mu_abs_mean,env_std_mean,r_env_abs_mean,y_inv_mae,y_potential_mae,y_hat_mae,sep_projection_ratio,sep_cos_z_env_before,sep_cos_z_env_after,sep_lowrank_energy_ratio,sep_residual_norm,sep_z_raw_norm,sep_z_inv_norm,sep_env_raw_norm,sep_env_norm,sep_proj_norm,sep_basis_rank,sep_svd_top_singular_mean,sep_lowrank_rank,sep_env_residual_norm,mask_mean,mask_std,mask_min,mask_max,mask_entropy,mask_active_ratio,env_plus_norm,env_minus_norm,env_hist_norm,env_fut_norm,env_fut_pred_norm,fusion_gamma_abs_mean,fusion_beta_abs_mean,timestamp_valid,cur_time_emb_norm,seq_time_emb_norm,future_time_emb_norm,backbone_aux_loss,grad_consensus/agree_mean,grad_consensus/agree_std,grad_consensus/agree_min,grad_consensus/agree_max,grad_consensus/rho_mean,grad_consensus/rho_max,grad_consensus/using_fallback_z_inv,grad_consensus/ema_agree_mean,curriculum_horizon,cast_vq_loss,cast_commit_loss,cast_mi_loss,stone_graph_perturb_loss,stone_spatial_graph_entropy,stone_temporal_graph_entropy,val_mae,val_mse,val_rmse,val_mape,val_wape,val_mae_h3,val_rmse_h3,val_mape_h3,val_wape_h3,val_mae_h6,val_rmse_h6,val_mape_h6,val_wape_h6,val_mae_h12,val_rmse_h12,val_mape_h12,val_wape_h12,val_mae_avg12,val_rmse_avg12,val_mape_avg12,val_wape_avg12,lr
1,20,train,41.7637825012207,34.803287506103516,34.802467346191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5109284520149231,0.5109284520149231,0.5109277367591858,0.0,-0.009475518018007278,0.45540177822113037,1.0,0.0,1.0,0.0,0.0,0.00018023037409875542,0.0,0.0,0.0,0.0,0.2645553946495056,0.0066833943128585815,0.24134495854377747,0.28971654176712036,0.5769979357719421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00012155551667092368,0.46923691034317017,0.06617410480976105,1.0024806261062622,0.0,34.802467346191406,34.803287506103516,34.803287506103516,0.0637471154332161,-0.011618571355938911,1.3511559926460137e-10,0.0,0.0,5.7716965675354,5.7716965675354,1.677735686302185,1.677735686302185,0.34764888882637024,0.0,0.0,0.0,0.0,0.2645553648471832,0.017307143658399582,0.18136033415794373,0.3473493158817291,0.5769979357719421,0.0,1.6810894012451172,1.6782556772232056,1.677735686302185,1.6761054992675781,0.45540177822113037,0.001688611344434321,0.0012373143108561635,1.0,3.147223472595215,3.2149124145507812,3.209268093109131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,40,train,38.45629119873047,32.047550201416016,32.0437126159668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.507479727268219,0.5074796676635742,0.5074988007545471,0.0,-0.010035715997219086,0.45353963971138,1.0,0.0,1.0,0.0,0.0,0.00021404371364042163,0.0,0.0,0.0,0.0,0.2716054916381836,0.004778131376951933,0.2552885413169861,0.28929752111434937,0.5845405459403992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0004457509203348309,0.46217435598373413,0.07214997708797455,0.9985752105712891,0.0,32.0437126159668,32.047550201416016,32.047550201416016,0.050471071153879166,-0.007715500425547361,6.110778549839324e-11,0.0,0.0,5.197128772735596,5.197128772735596,1.6818122863769531,1.6818122863769531,0.22510868310928345,0.0,0.0,0.0,0.0,0.2716054618358612,0.011048468761146069,0.22160932421684265,0.32663270831108093,0.5845405459403992,0.0,1.6825634241104126,1.682192087173462,1.6818122863769531,1.682650089263916,0.45353963971138,0.0033548460341989994,0.0014500386314466596,1.0,3.2599222660064697,3.252692699432373,3.1948208808898926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,60,train,28.657068252563477,23.880422592163086,23.88322639465332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5056321620941162,0.5056321620941162,0.5056397914886475,0.0,-0.008918100968003273,0.4527309834957123,1.0,0.0,1.0,0.0,0.0,0.00016545590187888592,0.0,0.0,0.0,0.0,0.2770916819572449,0.002856803359463811,0.2658604681491852,0.2870565354824066,0.5900598168373108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.00024404226860497147,0.45158010721206665,0.08030857890844345,0.9957181215286255,0.0,23.88322639465332,23.880422592163086,23.880422592163086,0.04048091918230057,-0.003791854716837406,1.5936817143735738e-10,0.0,0.0,5.840271949768066,5.840271949768066,1.699184536933899,1.699184536933899,0.19792570173740387,0.0,0.0,0.0,0.0,0.2770916521549225,0.007096401881426573,0.24266284704208374,0.3102042078971863,0.5900598168373108,0.0,1.6992753744125366,1.699425458908081,1.699184536933899,1.701124668121338,0.4527309834957123,0.004022644367069006,0.001476677949540317,1.0,3.1239418983459473,3.058884382247925,3.027604579925537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,80,train,30.97787857055664,25.815004348754883,25.814369201660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5045763850212097,0.5045763850212097,0.5045796036720276,0.0,-0.009357422590255737,0.4527430236339569,1.0,0.0,1.0,0.0,0.0,0.00019658173550851643,0.0,0.0,0.0,0.0,0.2828933298587799,0.001620336901396513,0.2763743996620178,0.2892114520072937,0.5956194996833801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.00018611355335451663,0.4437079429626465,0.08707546442747116,0.9933516383171082,0.0,25.814369201660156,25.815004348754883,25.815004348754883,0.03605005145072937,-0.0018672121223062277,4.849413579033346e-11,0.0,0.0,5.5510945320129395,5.5510945320129395,1.7092845439910889,1.7092845439910889,0.16224747896194458,0.0,0.0,0.0,0.0,0.2828933596611023,0.004305578302592039,0.2619117796421051,0.30105865001678467,0.5956194996833801,0.0,1.7091721296310425,1.709431767463684,1.7092845439910889,1.7089924812316895,0.4527430236339569,0.0046050455421209335,0.0015044751344248652,1.0,2.835775136947632,2.9893462657928467,3.0284976959228516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,100,train,32.64850997924805,27.20755386352539,27.20477294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5004632472991943,0.5004632472991943,0.5004491806030273,0.0,-0.009806519374251366,0.45087647438049316,1.0,0.0,1.0,0.0,0.0,0.00022055153385736048,0.0,0.0,0.0,0.0,0.28744012117385864,0.0011865447741001844,0.28274884819984436,0.2914102375507355,0.5998230576515198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0002636944700498134,0.4181012511253357,0.10986007750034332,0.9874412417411804,0.0,27.20477294921875,27.20755386352539,27.20755386352539,0.03606415539979935,-0.00041141314432024956,2.0938088068911398e-11,0.0,0.0,5.6143059730529785,5.6143059730529785,1.7522934675216675,1.7522934675216675,0.1633129119873047,0.0,0.0,0.0,0.0,0.28744009137153625,0.002906674286350608,0.27432116866111755,0.29904019832611084,0.5998230576515198,0.0,1.7523232698440552,1.752325415611267,1.7522934675216675,1.7531461715698242,0.45087647438049316,0.00554788950830698,0.0017785693053156137,1.0,2.976867437362671,2.9570980072021484,2.9698128700256348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,120,train,32.685203552246094,27.236974716186523,27.241138458251953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5011073350906372,0.5011073350906372,0.5011217594146729,0.0,-0.00913170538842678,0.4484001398086548,1.0,0.0,1.0,0.0,0.0,0.0003393251681700349,0.0,0.0,0.0,0.0,0.29124319553375244,0.0007151631289161742,0.2886674404144287,0.2938656210899353,0.6032522320747375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000991109642200172,0.39758920669555664,0.12694747745990753,0.9856114387512207,0.0,27.241138458251953,27.236974716186523,27.236974716186523,0.03325074166059494,-0.00762154208496213,-7.920671757366549e-11,0.0,0.0,5.690870761871338,5.690870761871338,1.8023542165756226,1.8023542165756226,0.15293270349502563,0.0,0.0,0.0,0.0,0.29124319553375244,0.0019070752896368504,0.28255516290664673,0.2999030351638794,0.6032522320747375,0.0,1.8015973567962646,1.8026841878890991,1.8023542165756226,1.7970143556594849,0.4484001398086548,0.005821901373565197,0.0016818257281556726,1.0,2.8679566383361816,2.865780830383301,2.86822509765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,140,train,31.886383056640625,26.570514678955078,26.5793399810791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5079532861709595,0.5079532861709595,0.5079275369644165,0.0,-0.009615961462259293,0.45225250720977783,1.0,0.0,1.0,0.0,0.0,0.0020163042936474085,0.0,0.0,0.0,0.0,0.2953796684741974,0.0004998552030883729,0.2933395504951477,0.2970523536205292,0.6068940162658691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0017799640772864223,0.33184537291526794,0.17933039367198944,0.9801574349403381,0.0,26.5793399810791,26.570514678955078,26.570514678955078,0.03174678236246109,-0.016536742448806763,4.506553116789824e-11,0.0,0.0,5.687752723693848,5.687752723693848,1.9875470399856567,1.9875470399856567,0.14138062298297882,0.0,0.0,0.0,0.0,0.2953796684741974,0.0013666297309100628,0.2877946197986603,0.3009897470474243,0.6068940162658691,0.0,1.986503005027771,1.9879934787750244,1.9875470399856567,1.978533387184143,0.45225250720977783,0.006390503142029047,0.0018006982281804085,1.0,2.819532871246338,2.8570637702941895,2.8636927604675293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,160,train,31.50365447998047,26.25467872619629,26.244882583618164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5113029479980469,0.5113030076026917,0.5113022923469543,0.0,-0.009655139409005642,0.44756680727005005,1.0,0.0,1.0,0.0,0.0,0.003363423515111208,0.0,0.0,0.0,0.0,0.29920491576194763,0.000363412982551381,0.2977384626865387,0.3004833459854126,0.6101862788200378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0018279249779880047,0.3111715614795685,0.19281978905200958,0.9808354377746582,0.0,26.244882583618164,26.25467872619629,26.25467872619629,0.02881062589585781,-0.001387705677188933,9.480042445497716e-11,0.0,0.0,5.516297340393066,5.516297340393066,2.038317918777466,2.038317918777466,0.12979887425899506,0.0,0.0,0.0,0.0,0.29920488595962524,0.0010947560658678412,0.2937834560871124,0.30376556515693665,0.6101862788200378,0.0,2.037130355834961,2.038830280303955,2.038317918777466,2.038698196411133,0.44756680727005005,0.006820044945925474,0.001890053623355925,1.0,2.6872072219848633,2.7660422325134277,2.789705276489258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,167,train_epoch,38.523751093241984,32.10322714708522,32.102619262512576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5065069255714645,0.5065069259283785,0.50650818833334,0.0,-0.009187644143995945,0.45231299200457725,1.0,0.0,1.0,0.0,0.0,0.0007010043973750072,0.0,0.0,0.0,0.0,0.28202245620910277,0.002820415432428283,0.27179358025153955,0.2927384885128387,0.5942487009985005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.43437495479309e-05,0.4155650872313334,0.11041797557009195,0.9913775910160498,0.0,32.102619262512576,32.10322714708522,32.10322714708522,0.042765640860010765,-0.004835455632787045,6.584245081993117e-12,0.0,0.0,5.597274363397838,5.59727436625315,1.7835895436966491,1.7835895436966491,0.2013667878544259,0.0,0.0,0.0,0.0,0.2820224504984781,0.0069158295250336035,0.2509467894445636,0.3157982233755603,0.5942487009985005,0.0,1.784019420246878,1.7839587505706056,1.7835895436966491,1.783049347871792,0.45231299200457725,0.0044954889764156035,0.0015281392198647121,1.0,2.9968848157071784,2.999498243103484,2.997974238709775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,167,val,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.174354553222656,1299.8619384765625,36.05359813495128,0.21931962668895721,0.10349950194358826,19.22904396057129,29.06250210013433,0.12803718447685242,0.08240465819835663,22.66389274597168,34.545021645785845,0.1596098095178604,0.09704312682151794,29.73845672607422,44.58448298507985,0.25112617015838623,0.12713609635829926,24.174354553222656,36.05359813495128,0.21931962668895721,0.10349950194358826,0.001
