combo_id	status	exit_code	metrics_found	ckpt_dir	seed	lr	optimizer	weight_decay	grad_clip	lr_scheduler	lr_milestones	lr_gamma	lambda_envpred	lambda_future_mi	lambda_swap	lambda_mask_sparse	sparse_target	train_loss_scale	mae	mse	rmse	mape	metric_path
combo_0015	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0015	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.3	0.05	0.05	0.05	1e-3	0.25	normalized	15.603484231072503	598.4503950514235	24.46324579959543	10.541672921395516	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0015/best_test_metrics.json
combo_0016	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0016	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.3	0.05	0.05	0.05	1e-3	0.3	normalized	15.620401532800347	589.9588575620909	24.28906868453566	11.645002257716548	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0016/best_test_metrics.json
combo_0017	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0017	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.03	0.03	0.03	1e-3	0.25	normalized	15.36000294728322	586.4227868157465	24.216167880483205	10.422032798732722	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0017/best_test_metrics.json
combo_0018	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0018	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.03	0.03	0.03	1e-3	0.3	normalized	15.26272271560119	582.0749161179001	24.12622880016477	10.196407184944496	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0018/best_test_metrics.json
combo_0019	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0019	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.03	0.03	0.05	1e-3	0.25	normalized	15.365690553510511	587.0772444578978	24.22967693672158	10.430291476550403	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0019/best_test_metrics.json
combo_0020	failed	139	0	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0020	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.03	0.03	0.05	1e-3	0.3	normalized	nan	nan	nan	nan	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0020/best_test_metrics.json
combo_0021	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0021	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.03	0.05	0.03	1e-3	0.25	normalized	15.487880225654122	590.805469272373	24.30649027055064	11.142640930038315	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0021/best_test_metrics.json
combo_0022	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0022	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.03	0.05	0.03	1e-3	0.3	normalized	15.545821305867788	591.8883427113026	24.328755469840676	11.342876876796687	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0022/best_test_metrics.json
combo_0023	failed	139	0	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0023	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.03	0.05	0.05	1e-3	0.25	normalized	nan	nan	nan	nan	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0023/best_test_metrics.json
combo_0024	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0024	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.03	0.05	0.05	1e-3	0.3	normalized	15.56919797261556	586.1686939548802	24.21092096461595	12.010442497493985	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_sweep/combo_0024/best_test_metrics.json
