epoch,step,split,total_loss,pred_loss,inv_loss,gate_loss,swap_loss,swap_diff_loss,swap_same_loss,kl_loss,effective_lambda_kl,effective_lambda_envpred,effective_lambda_future_mi,effective_lambda_swap,effective_lambda_sep,effective_lambda_mask_sparse,aux_schedule_factor,ind_loss,sparse_loss,entropy_loss,residual_norm_loss,env_consistency_loss,persistence_mi_loss,envpred_loss,future_mi_loss,future_mi_type,env_fut_nll,env_fut_nll_plus,env_fut_nll_minus,env_fut_kl,pred_fut_logvar_mean,pred_fut_mu_norm,future_mi_valid,sep_loss,sep_mi_type,club_upper_bound,club_fit_nll,cross_cov_loss,hsic_loss,rank_loss,mask_sparse_loss,effective_lambda_persistence_mi,rho_mean,rho_std,rho_min,rho_max,rho_entropy,delta_gain_mean,delta_gain_std,delta_gain_pos_ratio,s_gain_mean,persist_score_mean,persist_score_std,s_persist_mean,s_gate_mean,persistence_valid,potential_gain_mean,swap_delta_mean,swap_weight_mean,env_mu_abs_mean,env_std_mean,r_env_abs_mean,y_inv_mae,y_potential_mae,y_hat_mae,sep_projection_ratio,sep_cos_z_env_before,sep_cos_z_env_after,sep_lowrank_energy_ratio,sep_residual_norm,sep_z_raw_norm,sep_z_inv_norm,sep_env_raw_norm,sep_env_norm,sep_proj_norm,sep_basis_rank,sep_svd_top_singular_mean,sep_lowrank_rank,sep_env_residual_norm,mask_mean,mask_std,mask_min,mask_max,mask_entropy,mask_active_ratio,env_plus_norm,env_minus_norm,env_hist_norm,env_fut_norm,env_fut_pred_norm,fusion_gamma_abs_mean,fusion_beta_abs_mean,timestamp_valid,cur_time_emb_norm,seq_time_emb_norm,future_time_emb_norm,backbone_aux_loss,curriculum_horizon,cast_vq_loss,cast_commit_loss,cast_mi_loss,stone_graph_perturb_loss,stone_spatial_graph_entropy,stone_temporal_graph_entropy,val_mae,val_mse,val_rmse,val_mape,val_wape,val_mae_h3,val_rmse_h3,val_mape_h3,val_wape_h3,val_mae_h6,val_rmse_h6,val_mape_h6,val_wape_h6,val_mae_h12,val_rmse_h12,val_mape_h12,val_wape_h12,val_mae_avg12,val_rmse_avg12,val_mape_avg12,val_wape_avg12,lr
1,20,train,30.741962432861328,30.741962432861328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.4828798157395795e-05,-4.686088562011719,17.553495407104492,0.39931830763816833,0.3993692100048065,0.0,0.0,0.0,0.3993692100048065,0.0,-4.686088562011719,0.0,,0.06759116053581238,1.0016330480575562,0.11176855862140656,30.741962432861328,35.42805099487305,30.741962432861328,0.0,0.0,0.0,0.0,0.0,1.7946248054504395,1.7946248054504395,5.63621711730957,5.63621711730957,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,40,train,26.19256591796875,26.19256591796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.4828798157395795e-05,-5.917041778564453,17.054616928100586,0.37106311321258545,0.37116357684135437,0.0,0.0,0.0,0.37116357684135437,0.0,-5.917041778564453,0.0,,0.06728942692279816,1.0016329288482666,0.11137385666370392,26.19256591796875,32.10960388183594,26.19256591796875,0.0,0.0,0.0,0.0,0.0,1.7146961688995361,1.7146961688995361,5.643120288848877,5.643120288848877,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,60,train,24.607746124267578,24.607746124267578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.4828798157395795e-05,-4.9411702156066895,16.64824867248535,0.38552388548851013,0.3855813443660736,0.0,0.0,0.0,0.3855813443660736,0.0,-4.9411702156066895,0.0,,0.067408487200737,1.0016233921051025,0.11163996160030365,24.607746124267578,29.54891586303711,24.607746124267578,0.0,0.0,0.0,0.0,0.0,1.734060525894165,1.734060525894165,5.653741359710693,5.653741359710693,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,80,train,30.0252685546875,30.0252685546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.4828798157395795e-05,-5.353847026824951,17.505382537841797,0.38735446333885193,0.3874658942222595,0.0,0.0,0.0,0.3874658942222595,0.0,-5.353847026824951,0.0,,0.0675399973988533,1.0016616582870483,0.11109185218811035,30.0252685546875,35.37911605834961,30.0252685546875,0.0,0.0,0.0,0.0,0.0,1.6593700647354126,1.6593700647354126,5.640009880065918,5.640009880065918,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,100,train,25.910688400268555,25.910688400268555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.4828798157395795e-05,-3.9698777198791504,16.855871200561523,0.411128968000412,0.41106173396110535,0.0,0.0,0.0,0.41106173396110535,0.0,-3.9698777198791504,0.0,,0.06711161881685257,1.0015215873718262,0.11121009290218353,25.910688400268555,29.880565643310547,25.910688400268555,0.0,0.0,0.0,0.0,0.0,1.6596195697784424,1.6596195697784424,5.6342034339904785,5.6342034339904785,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,120,train,26.63306999206543,26.63306999206543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.4828798157395795e-05,-3.6524481773376465,16.984920501708984,0.4157705307006836,0.4157607853412628,0.0,0.0,0.0,0.4157607853412628,0.0,-3.6524481773376465,0.0,,0.06707749515771866,1.0015403032302856,0.11056947708129883,26.63306999206543,30.2855167388916,26.63306999206543,0.0,0.0,0.0,0.0,0.0,1.5334007740020752,1.5334007740020752,5.6459832191467285,5.6459832191467285,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,140,train,23.213380813598633,23.213380813598633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.4828798157395795e-05,-7.061384677886963,16.65703773498535,0.34719669818878174,0.34720882773399353,0.0,0.0,0.0,0.34720882773399353,0.0,-7.061384677886963,0.0,,0.06721022725105286,1.0015908479690552,0.11110813170671463,23.213380813598633,30.274765014648438,23.213380813598633,0.0,0.0,0.0,0.0,0.0,1.6128265857696533,1.6128265857696533,5.644053936004639,5.644053936004639,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,160,train,24.5682373046875,24.5682373046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.4828798157395795e-05,-4.22209358215332,16.606042861938477,0.4080039858818054,0.4079480469226837,0.0,0.0,0.0,0.4079480469226837,0.0,-4.22209358215332,0.0,,0.06708404421806335,1.0015336275100708,0.11114029586315155,24.5682373046875,28.79033088684082,24.5682373046875,0.0,0.0,0.0,0.0,0.0,1.6547000408172607,1.6547000408172607,5.6464948654174805,5.6464948654174805,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,167,train_epoch,31.644588664620223,31.644588664620223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.4828798157395795e-05,-4.707424461127755,17.18891099255956,0.39701965594006156,0.3970239481883135,0.0,0.0,0.0,0.3970239481883135,0.0,-4.707424461127755,0.0,,0.06745959581907637,1.0016355493111524,0.11114351509395473,31.644588664620223,36.35201303402107,31.644588664620223,0.0,0.0,0.0,0.0,0.0,1.6580126417611174,1.6580126417611174,5.643674844753242,5.643674844753242,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.001
1,167,val,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8749292918614,1161.0879669189453,34.07474089290989,17.113928198814392,10.341609265123095,18.831775188446045,28.45770248397924,16.03504147699901,8.947072190897805,21.371676410947526,33.71648299663284,15.08269522019795,9.992118656635284,27.02141116346632,41.61233085503329,20.074945007051742,12.764096932751793,21.8749292918614,34.07474089290989,17.113928198814392,10.341609265123095,0.001
