backbone	best_metric	best_value	combo_id	ckpt_dir	mae	mse	rmse	mape	wape	lr	weight_decay	grad_clip	dropout	lambda_envpred	lambda_future_mi	lambda_swap	sparse_target
agcrn	mae	82.56563928964975	agcrn_combo_0003	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_tricks_smoke/agcrn/combo_0003	82.56563928964975	12436.611517278998	111.51955665836822	124.61823973784576	47.98245514190949	0.001	1e-5	5.0	0.1	0.05	0.01	0.05	0.3
graphwavenet	mae	92.53889863985079	graphwavenet_combo_0002	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_tricks_smoke/graphwavenet/combo_0002	92.53889863985079	16419.470338013794	128.13848109765385	134.391978667663	52.63632458179921	0.001	1e-4	5.0	0.3	0.05	0.01	0.05	0.3
stid_mlp	mae	98.64033796980574	stid_mlp_combo_0001	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_tricks_smoke/stid_mlp/combo_0001	98.64033796980574	18218.521018088402	134.97600163765557	145.07371201386323	55.939714723879156	0.001	1e-5	3.0	0.1	0.05	0.01	0.05	0.3
