epoch,step,split,total_loss,pred_loss,inv_loss,gate_loss,swap_loss,swap_diff_loss,swap_same_loss,kl_loss,effective_lambda_kl,ind_loss,sparse_loss,entropy_loss,residual_norm_loss,env_consistency_loss,persistence_mi_loss,effective_lambda_persistence_mi,rho_mean,rho_std,rho_min,rho_max,rho_entropy,delta_gain_mean,delta_gain_std,delta_gain_pos_ratio,s_gain_mean,persist_score_mean,persist_score_std,s_persist_mean,s_gate_mean,persistence_valid,potential_gain_mean,swap_delta_mean,env_mu_abs_mean,env_std_mean,r_env_abs_mean,y_inv_mae,y_potential_mae,y_hat_mae,sep_projection_ratio,sep_cos_z_env_before,sep_cos_z_env_after,sep_lowrank_energy_ratio,sep_residual_norm,sep_z_raw_norm,sep_z_inv_norm,sep_env_raw_norm,sep_env_norm,sep_proj_norm,sep_basis_rank,sep_svd_top_singular_mean,sep_lowrank_rank,sep_env_residual_norm,val_mae,val_rmse,val_mape
1,20,train,254.52867126464844,212.1072235107422,212.1072235107422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4828786333964672e-05,-0.7122073173522949,6.465441703796387,0.47504499554634094,0.4746056795120239,0.0,0.0,0.0,0.4746056795120239,0.0,-0.7122073173522949,0.0,5.200218200683594,13.876058578491211,4.460187911987305,212.1072235107422,212.8194122314453,212.1072235107422,0.0,0.0,0.0,0.0,0.0,80.55716705322266,80.55716705322266,178.49786376953125,178.49786376953125,0.0,0.0,0.0,0.0,0.0,,,
1,40,train,111.57928466796875,92.98273468017578,92.98273468017578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4828786333964672e-05,1.3533128499984741,21.4879093170166,0.5185509920120239,0.5185257792472839,0.0,0.0,0.0,0.5185257792472839,0.0,1.3533128499984741,0.0,4.796809673309326,12.416074752807617,16.688983917236328,92.98273468017578,91.62942504882812,92.98273468017578,0.0,0.0,0.0,0.0,0.0,745.0252685546875,745.0252685546875,161.29769897460938,161.29769897460938,0.0,0.0,0.0,0.0,0.0,,,
1,60,train,83.3307876586914,69.44232177734375,69.44232177734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4828786333964672e-05,-1.1131994724273682,16.889680862426758,0.4720395803451538,0.4720252454280853,0.0,0.0,0.0,0.4720252454280853,0.0,-1.1131994724273682,0.0,4.6660685539245605,11.935713768005371,12.87378978729248,69.44232177734375,70.5555191040039,69.44232177734375,0.0,0.0,0.0,0.0,0.0,559.6738891601562,559.6738891601562,160.5855255126953,160.5855255126953,0.0,0.0,0.0,0.0,0.0,,,
1,80,train,61.76841354370117,51.47367858886719,51.47367858886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4828786333964672e-05,-2.9220516681671143,17.431739807128906,0.45468655228614807,0.4549102485179901,0.0,0.0,0.0,0.4549102485179901,0.0,-2.9220516681671143,0.0,5.222224235534668,13.830290794372559,13.747444152832031,51.47367858886719,54.395729064941406,51.47367858886719,0.0,0.0,0.0,0.0,0.0,597.2325439453125,597.2325439453125,180.568115234375,180.568115234375,0.0,0.0,0.0,0.0,0.0,,,
1,100,train,48.69087219238281,40.57572555541992,40.57572555541992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4828786333964672e-05,-1.711754322052002,17.544631958007812,0.4561888873577118,0.456026166677475,0.0,0.0,0.0,0.456026166677475,0.0,-1.711754322052002,0.0,5.10413122177124,13.52618408203125,14.111055374145508,40.57572555541992,42.287479400634766,40.57572555541992,0.0,0.0,0.0,0.0,0.0,616.0071411132812,616.0071411132812,177.52398681640625,177.52398681640625,0.0,0.0,0.0,0.0,0.0,,,
1,120,train,40.97063446044922,34.14219665527344,34.14219665527344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4828786333964672e-05,-3.0762948989868164,15.600088119506836,0.4292701780796051,0.4293856918811798,0.0,0.0,0.0,0.4293856918811798,0.0,-3.0762948989868164,0.0,4.917644500732422,12.771364212036133,12.6746826171875,34.14219665527344,37.21848678588867,34.14219665527344,0.0,0.0,0.0,0.0,0.0,548.7386474609375,548.7386474609375,167.026611328125,167.026611328125,0.0,0.0,0.0,0.0,0.0,,,
1,140,train,44.55293273925781,37.127445220947266,37.127445220947266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4828786333964672e-05,-3.7484188079833984,17.08422088623047,0.42342162132263184,0.4235677719116211,0.0,0.0,0.0,0.4235677719116211,0.0,-3.7484188079833984,0.0,5.511388778686523,14.966898918151855,14.09968090057373,37.127445220947266,40.87586212158203,37.127445220947266,0.0,0.0,0.0,0.0,0.0,606.9407958984375,606.9407958984375,195.20997619628906,195.20997619628906,0.0,0.0,0.0,0.0,0.0,,,
1,160,train,37.48908996582031,31.240907669067383,31.240907669067383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4828786333964672e-05,-3.588747501373291,16.385513305664062,0.42288726568222046,0.42304033041000366,0.0,0.0,0.0,0.42304033041000366,0.0,-3.588747501373291,0.0,5.376334190368652,14.565719604492188,13.551913261413574,31.240907669067383,34.829654693603516,31.240907669067383,0.0,0.0,0.0,0.0,0.0,584.0362548828125,584.0362548828125,188.98463439941406,188.98463439941406,0.0,0.0,0.0,0.0,0.0,,,
1,180,train,39.07842254638672,32.56535339355469,32.56535339355469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4828786333964672e-05,-4.779998779296875,16.05668830871582,0.39934200048446655,0.39981570839881897,0.0,0.0,0.0,0.39981570839881897,0.0,-4.779998779296875,0.0,5.345298767089844,14.320927619934082,12.96330451965332,32.56535339355469,37.34535598754883,32.56535339355469,0.0,0.0,0.0,0.0,0.0,559.0079956054688,559.0079956054688,184.36294555664062,184.36294555664062,0.0,0.0,0.0,0.0,0.0,,,
1,200,train,35.2030029296875,29.33583641052246,29.33583641052246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4828786333964672e-05,-3.8541781902313232,15.860127449035645,0.4296780228614807,0.4299077093601227,0.0,0.0,0.0,0.4299077093601227,0.0,-3.8541781902313232,0.0,4.947760581970215,12.956801414489746,13.004688262939453,29.33583641052246,33.19001770019531,29.33583641052246,0.0,0.0,0.0,0.0,0.0,559.8567504882812,559.8567504882812,171.24267578125,171.24267578125,0.0,0.0,0.0,0.0,0.0,,,
