combo_id	status	exit_code	metrics_found	ckpt_dir	backbone	seed	lr	optimizer	weight_decay	grad_clip	lr_scheduler	lr_milestones	lr_gamma	lambda_envpred	lambda_future_mi	lambda_swap	lambda_mask_sparse	sparse_target	train_loss_scale	mae	mse	rmse	mape	metric_path
stid_mlp_combo_0001	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_smoke/stid_mlp/combo_0001	stid_mlp	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.05	0.01	0.05	1e-3	0.3	normalized	19.42558869370469	908.1881185995566	30.136159652476568	13.453391410209036	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_smoke/stid_mlp/combo_0001/best_test_metrics.json
graphwavenet_combo_0002	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_smoke/graphwavenet/combo_0002	graphwavenet	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.05	0.01	0.05	1e-3	0.3	normalized	24.583638852781004	1245.5507182903118	35.29236062224106	21.911846178071993	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_smoke/graphwavenet/combo_0002/best_test_metrics.json
agcrn_combo_0003	ok	0	1	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_smoke/agcrn/combo_0003	agcrn	2026	0.001	adamw	1e-5	3.0	multistep	[30,60,80]	0.5	0.05	0.01	0.05	1e-3	0.3	normalized	19.895176655537373	966.6945327896256	31.091711641362327	13.471551444079426	/data/OuXiaoyu/mystg/nue_stg_project/checkpoints/pems08_fpem_backbone_smoke/agcrn/combo_0003/best_test_metrics.json
